States,Code,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
New Mexico,NM,24.07837756,23.36751369,23.02336717,23.91324959,21.48805931,24.27828256,24.40315043,24.12431605,23.69065628,22.57973615,21.45589727,22.77885408,24.80544022,24.510707,24.38596568,24.55099742,24.68285251,24.17768029,24.01438771,23.75313918,22.82756004,21.99093756
New York,NY,16.05568122,15.75203827,15.53363078,15.4598848,15.95256896,17.16459764,17.42375842,17.46612807,17.52332773,17.27074741,16.40010985,17.62489853,18.92098225,18.91802172,19.06622226,19.19134962,19.68685302,19.4989626,19.04029389,18.48518313,17.78737502,17.0642684
North Carolina,NC,19.21987265,18.28342259,17.86710755,17.66184053,18.11089807,20.02176132,20.40176994,20.31865398,20.32480593,20.03543528,18.70897336,20.68222917,22.51896619,22.1665446,22.20542344,22.1644327,22.4339459,22.24839699,21.76733083,20.99222937,20.37165269,19.68783685
North Dakota,ND,12.70832362,12.27085186,11.7867482,11.59888377,11.73449754,13.23046771,13.17677713,13.12887257,13.0916074,12.85129457,12.08796645,12.60034515,14.11236887,13.62002288,13.06694899,12.55122516,12.38911151,11.92217395,12.00963803,12.3285389,12.21346705,11.7550033
Ohio,OH,12.93492535,12.57014752,12.18028584,12.13361893,12.58319021,14.00374591,14.44934248,14.67601629,14.94063245,15.12398136,14.51732756,16.1101208,18.09333339,18.0097915,17.96631214,17.8367553,18.02326211,17.74080702,17.43908872,17.0873424,16.57014655,16.06440199
Oklahoma,OK,20.36112716,19.71352776,19.00212865,18.66238591,18.709461,20.89306748,21.467778,21.42300668,21.32144139,20.60941484,18.79811753,20.53318434,22.90611346,22.60944527,22.16056463,21.64897495,21.77285828,21.22132377,21.36436714,21.43502308,20.84194769,20.17501601
Oregon,OR,13.64336696,13.2834043,12.65008241,12.37234554,12.81535595,14.04873762,14.31536048,14.34888054,14.09520985,13.85642275,13.33021841,14.73521262,16.61151425,16.45958457,16.56705314,16.54219504,16.6308971,16.29574882,15.724277,14.99873615,14.22661481,13.49860857
Pennsylvania,PA,12.67577441,12.2494603,11.88281285,11.61539936,11.8931397,13.02553919,13.39680555,13.46560718,13.62413355,13.46150026,12.77370252,13.97840639,15.41077819,15.17239759,15.29413858,15.35803017,15.81958915,15.72128142,15.50843795,15.34883045,14.92006279,14.48954717
Rhode Island,RI,12.95608279,12.45212514,12.09247369,11.74659993,11.84311606,12.92944782,13.13468376,13.25807393,13.54072128,13.43261638,13.13332712,14.85601389,16.16352929,15.9207293,16.26651128,16.39404987,17.03421906,16.87520359,16.42433319,15.98473686,15.46288014,15.04153591
South Carolina,SC,22.33288938,21.39000578,20.9480818,20.86315169,21.42535619,23.17850437,23.46610683,23.37710498,23.28531929,22.85671616,20.93698861,23.34431255,25.11026207,24.67371698,24.5209786,24.41667349,24.42760415,24.16560749,23.40199011,22.61210081,21.79480313,21.04106989
